dateCreated,hours,sessions,quotes,transactions,sessionConversion,quoteConversion
14/10/2024,14,679,338,72,0.106,0.213
14/10/2024,13,698,367,73,0.1046,0.1989
14/10/2024,12,692,345,85,0.1228,0.2464
14/10/2024,11,782,485,80,0.1023,0.1649
14/10/2024,10,702,380,77,0.1097,0.2026
14/10/2024,9,563,278,45,0.0799,0.1619
14/10/2024,8,348,123,22,0.0632,0.1789
14/10/2024,7,232,66,9,0.0388,0.1364
14/10/2024,6,158,30,4,0.0253,0.1333
14/10/2024,5,138,25,2,0.0145,0.08
14/10/2024,4,93,14,0,0,0
14/10/2024,3,92,13,0,0,0
14/10/2024,2,74,9,0,0,0
14/10/2024,1,113,19,0,0,0
14/10/2024,0,117,29,3,0.0256,0.1034
15/10/2024,23,329,81,16,0.0486,0.1975
15/10/2024,22,385,171,13,0.0338,0.076
15/10/2024,21,371,140,23,0.062,0.1643
15/10/2024,20,438,183,21,0.0479,0.1148
15/10/2024,19,1351,199,27,0.02,0.1357
15/10/2024,18,491,182,31,0.0631,0.1703
15/10/2024,17,597,234,47,0.0787,0.2009
15/10/2024,16,698,289,56,0.0802,0.1938
15/10/2024,15,736,338,56,0.0761,0.1657
15/10/2024,14,668,333,79,0.1183,0.2372
15/10/2024,13,706,357,64,0.0907,0.1793
15/10/2024,12,698,320,84,0.1203,0.2625
15/10/2024,11,609,322,74,0.1215,0.2298
15/10/2024,10,696,347,75,0.1078,0.2161
15/10/2024,9,646,296,59,0.0913,0.1993
15/10/2024,8,517,286,33,0.0638,0.1154
15/10/2024,7,292,80,11,0.0377,0.1375
15/10/2024,6,191,59,5,0.0262,0.0847
15/10/2024,5,158,29,1,0.0063,0.0345
15/10/2024,4,158,17,0,0,0
15/10/2024,3,140,14,0,0,0
15/10/2024,2,991,895,3,0.003,0.0034
15/10/2024,1,178,27,2,0.0112,0.0741
15/10/2024,0,181,44,3,0.0166,0.0682
16/10/2024,23,247,72,9,0.0364,0.125
16/10/2024,22,473,126,17,0.0359,0.1349
16/10/2024,21,471,159,26,0.0552,0.1635
16/10/2024,20,512,202,26,0.0508,0.1287
16/10/2024,19,481,180,22,0.0457,0.1222
16/10/2024,18,457,198,38,0.0832,0.1919
16/10/2024,17,702,222,43,0.0613,0.1937
16/10/2024,16,725,242,62,0.0855,0.2562
16/10/2024,15,713,368,76,0.1066,0.2065
16/10/2024,14,700,345,64,0.0914,0.1855
16/10/2024,13,707,322,68,0.0962,0.2112
16/10/2024,12,777,348,72,0.0927,0.2069
16/10/2024,11,742,402,82,0.1105,0.204
16/10/2024,10,751,367,77,0.1025,0.2098
16/10/2024,9,616,306,48,0.0779,0.1569
16/10/2024,8,477,281,30,0.0629,0.1068
16/10/2024,7,237,92,12,0.0506,0.1304
16/10/2024,6,156,29,5,0.0321,0.1724
16/10/2024,5,171,14,1,0.0058,0.0714
16/10/2024,4,156,16,0,0,0
16/10/2024,3,140,18,4,0.0286,0.2222
16/10/2024,2,204,24,5,0.0245,0.2083
16/10/2024,1,182,33,2,0.011,0.0606
16/10/2024,0,180,43,0,0,0
17/10/2024,23,332,60,6,0.0181,0.1
17/10/2024,22,351,96,12,0.0342,0.125
17/10/2024,21,488,146,25,0.0512,0.1712
17/10/2024,20,429,161,21,0.049,0.1304
17/10/2024,19,457,143,15,0.0328,0.1049
17/10/2024,18,474,175,22,0.0464,0.1257
17/10/2024,17,529,173,41,0.0775,0.237
17/10/2024,16,566,247,49,0.0866,0.1984
17/10/2024,15,683,309,50,0.0732,0.1618
17/10/2024,14,604,267,63,0.1043,0.236
17/10/2024,13,612,313,46,0.0752,0.147
17/10/2024,12,709,349,66,0.0931,0.1891
17/10/2024,11,1028,354,85,0.0827,0.2401
17/10/2024,10,715,374,75,0.1049,0.2005
17/10/2024,9,695,282,47,0.0676,0.1667
17/10/2024,8,538,286,43,0.0799,0.1503
17/10/2024,7,249,72,11,0.0442,0.1528
17/10/2024,6,149,37,5,0.0336,0.1351
17/10/2024,5,132,24,2,0.0152,0.0833
17/10/2024,4,137,32,0,0,0
17/10/2024,3,142,20,0,0,0
17/10/2024,2,160,20,2,0.0125,0.1
17/10/2024,1,182,33,1,0.0055,0.0303
17/10/2024,0,191,45,4,0.0209,0.0889
18/10/2024,23,173,35,1,0.0058,0.0286
18/10/2024,22,213,58,4,0.0188,0.069
18/10/2024,21,228,71,3,0.0132,0.0423
18/10/2024,20,351,111,8,0.0228,0.0721
18/10/2024,19,283,91,10,0.0353,0.1099
18/10/2024,18,277,117,13,0.0469,0.1111
18/10/2024,17,378,150,17,0.045,0.1133
18/10/2024,16,455,210,32,0.0703,0.1524
18/10/2024,15,451,199,40,0.0887,0.201
18/10/2024,14,534,247,47,0.088,0.1903
18/10/2024,13,528,254,57,0.108,0.2244
18/10/2024,12,552,297,64,0.1159,0.2155
18/10/2024,11,577,310,70,0.1213,0.2258
18/10/2024,10,658,303,64,0.0973,0.2112
18/10/2024,9,543,302,57,0.105,0.1887
18/10/2024,8,571,262,19,0.0333,0.0725
18/10/2024,7,224,92,8,0.0357,0.087
18/10/2024,6,144,28,0,0,0
18/10/2024,5,132,19,3,0.0227,0.1579
18/10/2024,4,109,24,1,0.0092,0.0417
18/10/2024,3,133,23,2,0.015,0.087
18/10/2024,2,173,21,1,0.0058,0.0476
18/10/2024,1,179,28,1,0.0056,0.0357
18/10/2024,0,259,49,6,0.0232,0.1224
19/10/2024,23,165,47,3,0.0182,0.0638
19/10/2024,22,187,70,2,0.0107,0.0286
19/10/2024,21,231,83,12,0.0519,0.1446
19/10/2024,20,265,101,10,0.0377,0.099
19/10/2024,19,267,109,12,0.0449,0.1101
19/10/2024,18,245,94,9,0.0367,0.0957
19/10/2024,17,261,116,10,0.0383,0.0862
19/10/2024,16,305,128,12,0.0393,0.0938
19/10/2024,15,296,126,14,0.0473,0.1111
19/10/2024,14,334,155,26,0.0778,0.1677
19/10/2024,13,405,155,19,0.0469,0.1226
19/10/2024,12,348,161,23,0.0661,0.1429
19/10/2024,11,311,145,19,0.0611,0.131
19/10/2024,10,328,121,20,0.061,0.1653
19/10/2024,9,297,127,11,0.037,0.0866
19/10/2024,8,340,202,4,0.0118,0.0198
19/10/2024,7,196,38,4,0.0204,0.1053
19/10/2024,6,129,28,1,0.0078,0.0357
19/10/2024,5,113,17,0,0,0
19/10/2024,4,126,19,2,0.0159,0.1053
19/10/2024,3,114,21,1,0.0088,0.0476
19/10/2024,2,119,19,0,0,0
19/10/2024,1,114,22,2,0.0175,0.0909
19/10/2024,0,141,54,3,0.0213,0.0556
20/10/2024,23,204,90,12,0.0588,0.1333
20/10/2024,22,266,112,14,0.0526,0.125
20/10/2024,21,302,146,15,0.0497,0.1027
20/10/2024,20,271,111,16,0.059,0.1441
20/10/2024,19,331,164,20,0.0604,0.122
20/10/2024,18,322,141,20,0.0621,0.1418
20/10/2024,17,601,169,22,0.0366,0.1302
20/10/2024,16,361,179,30,0.0831,0.1676
20/10/2024,15,373,202,34,0.0912,0.1683
20/10/2024,14,318,151,16,0.0503,0.106
